Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,9603.029999999997,115236.36,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Core BOM FINAL - On-Demand - Mumbai > DevOps > Database,Asia Pacific (Mumbai),foundation-rds - MySQL 8 - Single-AZ,Amazon RDS for MySQL,0,182.42,2189.04,USD,"Nodes (1), Instance type (db.m6g.large), Deployment option (Single-AZ), Utilization (On-Demand only) (100 %Utilized/Month), Pricing strategy (OnDemand), Storage for each RDS instance (General Purpose SSD (gp3)), Storage amount (200 GB)"
Core BOM FINAL - On-Demand - Mumbai > DevOps > Network,Asia Pacific (Mumbai),2 Application Load Balancers - base hours; traffic volume not supplied,Application Load Balancer,0,34.89,418.68,USD,Number of Application Load Balancers (2)
Core BOM FINAL - On-Demand - Mumbai > DevOps > Search,Asia Pacific (Mumbai),opensearch-log - 1 x r7g.large.search - 200 GB gp3,Amazon OpenSearch Service,0,119.07,1428.84,USD,"Nodes (1), Instance type (r7g.large.search), Instance Node Type (Memory optimized), Storage Type (EBS Only), Utilization (On-Demand only) (100 %Utilized/Month), Pricing strategy (OnDemand), Nodes (0), Instance type (r5.2xlarge.search), Number of nodes (0), Number of instances (1), Storage for each Amazon OpenSearch Service instance (General Purpose SSD (gp3)), Storage amount per volume (gp3) (200 GB), Provisioning IOPS per volume (gp3) (3000), Provisioning throughput (MB/s) per volume (gp3) (125 undefined)"
Core BOM FINAL - On-Demand - Mumbai > DevOps > Cache,Asia Pacific (Mumbai),Redis 7.1 - cache.t4g.medium - 1 node,Amazon ElastiCache,0,59.13,709.56,USD,"Nodes (1), Instance type (cache.t4g.medium), Cache Engine (Redis), Cache Node Type (Standard), Utilization (On-Demand only) (100 %Utilized/Month), Pricing strategy (OnDemand)"
Core BOM FINAL - On-Demand - Mumbai > DevOps > Cache,Asia Pacific (Mumbai),MemoryDB Redis - db.t4g.medium - 1 node,Amazon MemoryDB,0,88.33,1059.96,USD,"Instance type (db.t4g.medium), Number of nodes (1), Instance Family (General purpose), Utilization (On-Demand only) (100 %Utilized/Month), Pricing strategy (OnDemand), Data Written (0 GB), Snapshot storage (0 GB)"
Core BOM FINAL - On-Demand - Mumbai > DevOps > Security,Asia Pacific (Mumbai),AWS WAF required - 1 Web ACL; rule/request volume not supplied,AWS Web Application Firewall (WAF),0,5,60.00,USD,"Number of Web Access Control Lists (Web ACLs) utilized (1 per month), Number of Rules added per Web ACL (0 per month), Number of Rule Groups per Web ACL (0 per month), Number of Rules inside each Rule Group (0 per month), Number of Managed Rule Groups per Web ACL (0 per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
